S.No,ApplicationName,VendorName,APP Use Case/Purpose of the application,Ticket Number,Vertical,TitanSPOC,OverAll,TPRM_Status,TPRM_Remarks,VAPT_Status,VAPT_Remarks,IAM_Status,IAM_Remarks,SOC_Status,SOC_Remarks,SecControls_Status,SecControls_Remarks,AssessmentStartDate,App URL ,Column1,Column2
69,Tummoc,Tummoc,Public transport information and booking tickets,RITM0042859,Corp-HR,pramodkumar@titan.co.in,In-Progress,Cleared,,,9-12-2025 we have received e report  and 13-12-2025 we have requested for artifacts relate to SBOM and a proper vapt report. 24-12-2025 we have followed up and 06-01-2026 again did a followup on the report,Cleared,The  app will support mobile platform.  The Application will not be hosted on titan environment as its a public transport app and not required SSO integration.,Cleared,Not requried,In-progress,waiting for the artifacts to assess cloud security,19-11-2025,,,
70,UPSI portal,,Maintains logs of people having access to Unpublished Price Sensitive Information ('UPSI') as mandated by SEBI,RITM0043956,,venkateshraghavan@titan.co.in,In-Progress,In progress,trigerred the pre-assessment on Jan 6th,,12-12-2025 we have received UAT URL and Test credentials. Testing initiated from our end,In Progress,"SSO- SSO not supported,
SCIM-Currenlty manual provisioning Automatic user provisioning not supported,
MFA can be enforced,
User- 100 FTE users ",Cleared,Application hosted in Titan DC,Cleared,Not Applicable,11/21/2025,,,
71,VisitHealth Insurance,VisitHealth Insurance,,0,Eyeplus,tamilarasan@titan.co.in,Completed,Cleared,,Cleared,,Cleared,,Cleared,,Cleared,,11/10/2025,,,
72,VMI Application,Goldratt Consultant,Ready Stock available at the vendor location and Vendor WIP information and Stock levels of each SKUs.,RITM0042684,Jewellery-Hosur,ullascg@titan.co.in,Closed,Cleared,Not Applicable - InHouse,In Progress,"11-12-2025 we have received UAT URL and Test credentials. Testing initatied. 15-12-2025 we have shared the report. Manual Penetration Testing Vulnerabilities - Critical - 1 High - 3, Medium - 5 ",Yet to connect,"SSO- Waiting for the update from the vendor,
SCIM-Waiting for the update from the vendor,
User- ",,,Cleared,Not Applicable,11/27/2025,,,
73,Voice Bot CRM Intelekt AI,,To automate L1 interactions at the contact centre with the help of AI voicebot,RITM0043802,CRM,shalkiv@titan.co.in,Closed,Closed,Under review,Cleared,,Closed,,Closed,,Closed,,11/26/2025,,,
74,VR Application, 8th Wall,To serve AR content to Titan Stellar Watch Customers,RITM0044728,,shubhangidash@titan.co.in ;santoshgupta@titan.co.in,Not Yet Started,Cleared,Not required,,,Yet to connect,,,,,,12/4/2025,,,
75,ZenDynamix,ZenDynamix,Eyeplus Lens order tracker from store to factory and vice-versa,0,Eyeplus,naveenn@titan.co.in,In-Progress,Cleared,,In Progress,Project is under implementation,Yet to connect,,In Progress,AWS security enabled Infra level and network level and handed over to Naveen and team,Cleared,AWS security enabled Infra level and network level and handed over to Naveen and team,10/12/2025,,,
76,Watch running test,Jetson AGX Orin,To check the time in assembled watch head ,0,Watches & Wearables-Hosur QC,nagabushan@titan.co.in; rengarajulug@titan.co.in,Completed,Cleared,Not Required,Cleared,Not Applicable,Cleared,Not Applicable,Cleared,Not Applicable,Cleared,NA,7/10/2025,,,
77,WMS System(viniculum),vinculumgroup,"Ware House Management for Eyeplus products -Purchase, Inventory, order and return managements",RITM0042934,Eyeplus,sathishkumard@titan.co.in,Closed,Cleared,,In Progress,4/11/2025 we have received the report and 6-11-2025 we have requested for proper grey box report. yet to receive frm the team. reminder is done,Yet to connect,Call will be scheduled by the Partner for the SSO an SCIM feabilibility,,,In-progress,"SOC2 type 2 is not valid 
security controls still not having evidances 
The team will provide new report",8/27/2025,,,
78,chat_audit_system,,auditing chat system,RITM0045135,, avinashhanwat@titan.co.in,In-Progress,Cleared,In house development - TPRM not applicable,In Progress,3-12-2025 we have initiated testing with esecforte. Currently testing is in hold as dev team needs to update on ips getting blocked to testing team,Yet to connect,,yet to connect,"Email sent to get Arifacts, no Soc2 report",yet to connect,,,,,
79,Pragati - Thought Sutra Engagement Platform,thoughtsutra,It is an ESG initiative in Sustainability,RITM0046261,Corp-App,pramodkumar@titan.co.in,In-Progress,Cleared,,,31-12-2025 we have sent report 3 high 3 medium. 5-1-2026 we have retested 3 high 1 medium are yet to be fixed by dev team,Cleared,Not Applicable,In Progress,Planning to onboard indusface waf,Cleared,Only VAPT review is enough,,,,
80,GitHub,,,RITM0046306,,HDNetworkTEAL@titan.co.in,Not Yet Started,,,,,,,,,,,,,,
81,Celebration portals for the stores,Dechub,,,,,New Request,,,,,,,,,,,,,,
82,Jarvis CCTV Integration for Retail Stores,Staqu Technologies,Push CCTV video on cloud to auto generate insights and alerts,RITM0046944,Taneira and IRTH ,muruganandham@titan.co.in,In-Progress,,,,,,,,,In-Progress,SOC 2 type 2 report under review,1/6/2026,,,
83,CRM portal of FCM,,,,Admin,Bhartimalhotra@titan.co.in,New Request,,,,,,,,,,,,,,
84,Order Tracking Application,,,RITM0047310,Eyeplus,SundaramoorthyL@titan.co.in,New Request,yet to connect,,,,Cleared,SSO & JML Not applicable,,,,,12/1/2026,,,
85,SKINN Blog Page,,,,,surabhi_Shivanand@titan.co.in,New Request,,,,,,,,,,,,,,
86,Titan AI Client,Inhouse,,,,gautamp@titan.co.in,In-Progress,,,In Progress,Test in progress,,,,,,,,,,
87,Joget low code platform,,,,,sankararaman@titan.co.in/shivah@titan.co.in,New Request,TPRM Not initiated,,,,,,,,,,,,,
88,Dashloc,,"DashLoc empowers enterprise retail brands with a 360-degree platform, driving discovery, presence, engagement, and conversion",RITM0047445,Eyeplus,naveenn@titan.co.in,New Request,TPRM Not initiated,,,,,,,,,,,,,
89,TiaraNxt_RFID,,"Efficient inventory management, real-time tracking, and enhanced security of high-value items.",RITM0047584,Jewellery,dona@titan.co.in,New Request,TPRM Not initiated,,,,,,,,,,,,,
90,Jewel Match AI-POC,in-house,"To design, build, and validate the feasibility of an AI-driven visual similarity search platform",RITM0047566,TBD,,New Request,,,,,,,,,,,,,,
91,The Third Eye ( OCG-IDEA)-AI,https://ocg-idea.titan.in/,PWC (In-House),,Corp Apps,,In-Progress,,,,,,,,,,,,,,
92,Gold Rate API EPOS for Display purpose,,Gold Rate API EPOS for Display purpose at Jew BTQs,RITM0047613,Jewellery ,sridhara@titan.co.in,New Request,,,,,,,,,,,,,,
93,GL Transaction Monitoring,,Monitoring GL transacition in ERP,RITM0047811,Finance,roshanjain@titan.co.in ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
